Duration,Interval Before,Interval After,Height,Prediction Error
240,98,92,140,4
237,92,95,140,-2
250,95,92,148,1
243,87,100,130,-7
255,96,90,125,2
120,90,65,110,-4
260,65,92,136,0
178,92,72,125,-2
259,95,93,115,1
245,93,98,120,-1
234,98,94,120,4
213,94,80,120,0
255,93,93,150,-1
235,93,83,140,-1
250,96,89,136,2
110,89,66,120,-5
245,93,89,148,-1
269,89,86,130,-5
251,86,97,130,-8
234,69,105,136,4
252,105,92,130,13
254,92,89,115,0
273,89,93,136,-3
266,93,112,130,1
284,112,88,138,20
252,95,105,120,3
269,105,94,120,13
250,94,90,120,2
261,90,98,95,-2
253,98,81,140,6
255,81,101,125,-11
280,69,94,130,4
270,94,92,130,2
241,92,106,110,0
272,106,93,110,14
294,93,96,125,1
220,108,87,150,21
253,87,97,130,-5
245,97,86,120,5
274,102,92,95,10
